State,County,Community Name (Number), Policies in Force , Total Coverage , Total Written Premium + FPF , Total Annual Payment 
PENNSYLVANIA,ARMSTRONG COUNTY,"SOUTH BUFFALO, TOWNSHIP OF (421210)", 13 ," $3,044,000 "," $19,610 "," $23,806 "
PENNSYLVANIA,ARMSTRONG COUNTY,"VALLEY, TOWNSHIP OF (421316)", 1 ," $50,000 ", $703 , $846 
PENNSYLVANIA,ARMSTRONG COUNTY,"WASHINGTON, TOWNSHIP OF (421317)", 1 ," $175,000 ", $687 ," $1,052 "
PENNSYLVANIA,ARMSTRONG COUNTY,"WAYNE, TOWNSHIP OF (421318)", 1 ," $185,000 "," $3,649 "," $4,547 "
PENNSYLVANIA,ARMSTRONG COUNTY,"WEST FRANKLIN,TOWNSHIP OF (422304)", 4 ," $1,520,000 "," $8,074 "," $9,819 "
PENNSYLVANIA,ARMSTRONG COUNTY,"WORTHINGTON, BOROUGH OF (422306)", 1 ," $80,000 "," $1,435 "," $1,710 "
PENNSYLVANIA,BEAVER COUNTY,"ALIQUIPPA, CITY OF (420101)", 3 ," $252,000 "," $3,858 "," $5,052 "
PENNSYLVANIA,BEAVER COUNTY,"AMBRIDGE, BOROUGH OF (420102)", 2 ," $1,710,000 "," $5,129 "," $6,536 "
PENNSYLVANIA,BEAVER COUNTY,"BADEN, BOROUGH OF (420103)", 2 ," $230,000 "," $2,101 "," $2,512 "
PENNSYLVANIA,BEAVER COUNTY,"BEAVER, BOROUGH OF (420104)", 2 ," $181,000 "," $2,383 "," $2,845 "
PENNSYLVANIA,BEAVER COUNTY,"BEAVER FALLS, CITY OF (420105)", 36 ," $6,022,000 "," $35,780 "," $45,068 "
PENNSYLVANIA,BEAVER COUNTY,"BIG BEAVER, BOROUGH OF (422307)", 7 ," $1,052,000 "," $7,977 "," $9,978 "
PENNSYLVANIA,BEAVER COUNTY,"BRIDGEWATER, BOROUGH OF (420106)", 64 ," $10,953,000 "," $60,274 "," $75,481 "
PENNSYLVANIA,BEAVER COUNTY,"BRIGHTON, TOWNSHIP OF (422309)", 2 ," $205,000 "," $2,396 "," $2,861 "
PENNSYLVANIA,BEAVER COUNTY,"CENTER, TOWNSHIP OF (422310)", 8 ," $1,664,000 "," $3,749 "," $4,556 "
PENNSYLVANIA,BEAVER COUNTY,"CHIPPEWA, TOWNSHIP OF (422311)", 6 ," $1,278,000 "," $2,823 "," $3,881 "
PENNSYLVANIA,BEAVER COUNTY,"CONWAY, BOROUGH OF (420107)", 1 ," $272,000 ", $308 , $380 
PENNSYLVANIA,BEAVER COUNTY,"DARLINGTON, TOWNSHIP OF (422312)", 26 ," $3,620,000 "," $36,947 "," $44,699 "
PENNSYLVANIA,BEAVER COUNTY,"DAUGHERTY, TOWNSHIP OF (422313)", 2 ," $244,000 "," $1,564 "," $2,328 "
PENNSYLVANIA,BEAVER COUNTY,"EAST ROCHESTER, BOROUGH OF (420108)", 1 ," $27,000 ", $380 , $465 
PENNSYLVANIA,BEAVER COUNTY,"ECONOMY, BOROUGH OF (420109)", 13 ," $2,848,000 "," $20,248 "," $24,557 "
PENNSYLVANIA,BEAVER COUNTY,"ELLWOOD CITY, BOROUGH OF (420567)", 2 ," $347,000 ", $845 ," $1,030 "
PENNSYLVANIA,BEAVER COUNTY,"FRANKLIN, TOWNSHIP OF (421065)", 35 ," $5,086,000 "," $66,167 "," $80,005 "
PENNSYLVANIA,BEAVER COUNTY,"FREEDOM, BOROUGH OF (420111)", 3 ," $1,104,000 "," $6,403 "," $8,055 "
PENNSYLVANIA,BEAVER COUNTY,"GREENE, TOWNSHIP OF (422317)", 1 ," $350,000 ", $860 ," $1,031 "
PENNSYLVANIA,BEAVER COUNTY,"HANOVER, TOWNSHIP OF (421223)", 2 ," $700,000 "," $1,523 "," $2,056 "
PENNSYLVANIA,BEAVER COUNTY,"HARMONY, TOWNSHIP OF (421038)", 2 ," $333,000 "," $1,610 "," $1,933 "
PENNSYLVANIA,BEAVER COUNTY,"HOPEWELL, TOWNSHIP OF (421321)", 22 ," $8,824,000 "," $52,996 "," $66,725 "
PENNSYLVANIA,BEAVER COUNTY,"INDEPENDENCE, TOWNSHIP OF (421323)", 8 ," $1,589,000 "," $17,947 "," $21,536 "
PENNSYLVANIA,BEAVER COUNTY,"INDUSTRY, BOROUGH OF (420113)", 1 ," $350,000 ", $665 , $801 
PENNSYLVANIA,BEAVER COUNTY,"MARION, TOWNSHIP OF (422249)", 7 ," $1,553,000 "," $9,310 "," $11,327 "
PENNSYLVANIA,BEAVER COUNTY,"NEW BRIGHTON, BOROUGH OF (420115)", 12 ," $2,680,000 "," $42,334 "," $52,626 "
PENNSYLVANIA,BEAVER COUNTY,"NEW GALILEE,BOROUGH OF (422322)", 3 ," $360,000 "," $3,287 "," $3,929 "
PENNSYLVANIA,BEAVER COUNTY,"NEW SEWICKLEY, TOWNSHIP OF (422323)", 6 ," $774,000 "," $4,572 "," $5,494 "
PENNSYLVANIA,BEAVER COUNTY,"NORTH SEWICKLEY, TOWNSHIP OF (421161)", 24 ," $4,085,000 "," $34,911 "," $41,820 "
PENNSYLVANIA,BEAVER COUNTY,"OHIOVILLE, BOROUGH OF (422324)", 2 ," $700,000 "," $1,200 "," $1,449 "
PENNSYLVANIA,BEAVER COUNTY,"POTTER, TOWNSHIP OF (422327)", 3 ," $1,090,000 "," $1,218 "," $2,162 "
PENNSYLVANIA,BEAVER COUNTY,"PULASKI, TOWNSHIP OF (422328)", 1 ," $73,000 "," $1,262 "," $1,506 "
PENNSYLVANIA,BEAVER COUNTY,"ROCHESTER, TOWNSHIP OF (421322)", 6 ," $2,006,000 "," $27,342 "," $33,262 "
PENNSYLVANIA,BEAVER COUNTY,"SOUTH BEAVER, TOWNSHIP OF (422329)", 1 ," $230,000 "," $3,590 "," $4,478 "
PENNSYLVANIA,BEAVER COUNTY,"VANPORT, TOWNSHIP OF (421320)", 5 ," $1,145,000 "," $12,821 "," $16,337 "
PENNSYLVANIA,BEAVER COUNTY,"WEST MAYFIELD, BOROUGH OF (422331)", 2 ," $412,000 "," $1,732 "," $2,077 "
PENNSYLVANIA,BEDFORD COUNTY,"BEDFORD, BOROUGH OF (421228)", 7 ," $1,355,000 "," $6,869 "," $9,120 "
PENNSYLVANIA,BEDFORD COUNTY,"BEDFORD, TOWNSHIP OF (421331)", 51 ," $9,597,000 "," $78,229 "," $97,434 "
PENNSYLVANIA,BEDFORD COUNTY,"BLOOMFIELD, TOWNSHIP OF (421332)", 1 ," $50,000 ", $775 , $931 
PENNSYLVANIA,BEDFORD COUNTY,"BROAD TOP, TOWNSHIP OF (421333)", 8 ," $2,004,000 "," $10,521 "," $13,446 "
PENNSYLVANIA,BEDFORD COUNTY,"COLERAIN, TOWNSHIP OF (421334)", 4 ," $553,000 "," $3,230 "," $3,876 "
PENNSYLVANIA,BEDFORD COUNTY,"CUMBERLAND VALLEY, TOWNSHIP OF (421335)", 7 ," $1,624,000 "," $7,048 "," $9,107 "
PENNSYLVANIA,BEDFORD COUNTY,"EAST PROVIDENCE, TOWNSHIP OF (421336)", 4 ," $475,000 "," $4,797 "," $5,953 "
PENNSYLVANIA,BEDFORD COUNTY,"EAST ST. CLAIR, TOWNSHIP OF (421337)", 24 ," $3,405,000 "," $30,715 "," $35,968 "
PENNSYLVANIA,BEDFORD COUNTY,"EVERETT, BOROUGH OF (420119)", 5 ," $495,000 "," $8,993 "," $11,594 "
PENNSYLVANIA,BEDFORD COUNTY,"HARRISON, TOWNSHIP OF (421338)", 6 ," $926,000 "," $6,559 "," $8,064 "
PENNSYLVANIA,BEDFORD COUNTY,"HOPEWELL, BOROUGH OF (420120)", 1 ," $15,000 ", $387 , $473 
PENNSYLVANIA,BEDFORD COUNTY,"HOPEWELL, TOWNSHIP OF (421339)", 15 ," $1,754,000 "," $19,233 "," $22,721 "
PENNSYLVANIA,BEDFORD COUNTY,"HYNDMAN, BOROUGH OF (420121)", 45 ," $6,413,000 "," $51,571 "," $63,402 "
PENNSYLVANIA,BEDFORD COUNTY,"JUNIATA, TOWNSHIP OF (421340)", 2 ," $370,000 "," $5,081 "," $6,254 "
PENNSYLVANIA,BEDFORD COUNTY,"KIMMEL, TOWNSHIP OF (421341)", 1 ," $120,000 ", $762 , $916 
PENNSYLVANIA,BEDFORD COUNTY,"KING, TOWNSHIP OF (421342)", 6 ," $674,000 "," $10,667 "," $12,685 "
PENNSYLVANIA,BEDFORD COUNTY,"LIBERTY, TOWNSHIP OF (421343)", 7 ," $733,000 "," $9,932 "," $12,510 "
PENNSYLVANIA,BEDFORD COUNTY,"LINCOLN, TOWNSHIP OF (421344)", 7 ," $607,000 "," $5,884 "," $7,284 "
PENNSYLVANIA,BEDFORD COUNTY,"LONDONDERRY, TOWNSHIP OF (421345)", 16 ," $1,695,000 "," $22,266 "," $25,639 "
PENNSYLVANIA,BEDFORD COUNTY,"MANN, TOWNSHIP OF (421346)", 1 ," $140,000 ", $526 , $637 
PENNSYLVANIA,BEDFORD COUNTY,"NAPIER, TOWNSHIP OF (421348)", 4 ," $778,000 "," $3,267 "," $3,921 "
PENNSYLVANIA,BEDFORD COUNTY,"NEW PARIS, BOROUGH OF (421326)", 1 ," $140,000 ", $558 , $675 
PENNSYLVANIA,BEDFORD COUNTY,"RAINSBURG, BOROUGH OF (420122)", 1 ," $84,000 ", $544 , $883 
PENNSYLVANIA,BEDFORD COUNTY,"SAXTON, BOROUGH OF (420123)", 1 ," $32,000 ", $785 ," $1,168 "
PENNSYLVANIA,BEDFORD COUNTY,"SNAKE SPRING, TOWNSHIP OF (421349)", 19 ," $2,860,000 "," $36,236 "," $44,649 "
PENNSYLVANIA,BEDFORD COUNTY,"SOUTH WOODBURY, TOWNSHIP OF (421350)", 7 ," $1,176,000 "," $6,953 "," $8,544 "
PENNSYLVANIA,BEDFORD COUNTY,"WEST PROVIDENCE, TOWNSHIP OF (421353)", 21 ," $2,537,000 "," $28,728 "," $36,721 "
PENNSYLVANIA,BEDFORD COUNTY,"WEST ST. CLAIR, TOWNSHIP OF (421354)", 19 ," $2,245,000 "," $30,226 "," $36,207 "
PENNSYLVANIA,BEDFORD COUNTY,"WOODBURY, TOWNSHIP OF (421355)", 3 ," $656,000 "," $6,358 "," $7,777 "
PENNSYLVANIA,BERKS COUNTY,"ALBANY, TOWNSHIP OF (421046)", 20 ," $1,459,000 "," $15,989 "," $22,799 "
PENNSYLVANIA,BERKS COUNTY,"ALSACE, TOWNSHIP OF (421376)", 4 ," $1,145,000 "," $2,926 "," $3,744 "
PENNSYLVANIA,BERKS COUNTY,"AMITY, TOWNSHIP OF (420124)", 29 ," $7,116,000 "," $40,454 "," $50,239 "
PENNSYLVANIA,BERKS COUNTY,"BALLY, BOROUGH OF (420125)", 1 ," $306,000 "," $1,232 "," $1,470 "
PENNSYLVANIA,BERKS COUNTY,"BECHTELSVILLE, BOROUGH OF (420126)", 18 ," $3,273,000 "," $27,139 "," $32,771 "
PENNSYLVANIA,BERKS COUNTY,"BERN, TOWNSHIP OF (421050)", 5 ," $1,440,000 "," $4,700 "," $5,628 "
PENNSYLVANIA,BERKS COUNTY,"BETHEL, TOWNSHIP OF (421052)", 3 ," $830,000 "," $3,476 "," $4,601 "
PENNSYLVANIA,BERKS COUNTY,"BIRDSBORO, BOROUGH OF (420127)", 15 ," $5,838,000 "," $18,497 "," $24,327 "
PENNSYLVANIA,BERKS COUNTY,"BRECKNOCK, TOWNSHIP OF (421053)", 3 ," $322,000 "," $1,381 "," $1,679 "
PENNSYLVANIA,BERKS COUNTY,"CAERNARVON, TOWNSHIP OF (421055)", 9 ," $6,099,000 "," $27,856 "," $34,595 "
PENNSYLVANIA,BERKS COUNTY,"CENTRE, TOWNSHIP OF (421056)", 7 ," $1,223,000 "," $8,887 "," $10,602 "
PENNSYLVANIA,BERKS COUNTY,"COLEBROOKDALE, TOWNSHIP OF (421057)", 10 ," $2,443,000 "," $10,412 "," $13,125 "
PENNSYLVANIA,BERKS COUNTY,"CUMRU, TOWNSHIP OF (420130)", 25 ," $6,210,000 "," $17,126 "," $22,873 "
PENNSYLVANIA,BERKS COUNTY,"DISTRICT, TOWNSHIP OF (421378)", 1 ," $68,000 ", $554 , $670 
PENNSYLVANIA,BERKS COUNTY,"DOUGLASS, TOWNSHIP OF (420131)", 22 ," $4,669,000 "," $47,678 "," $57,075 "
PENNSYLVANIA,BERKS COUNTY,"EARL, TOWNSHIP OF (420132)", 8 ," $1,456,000 "," $11,187 "," $13,333 "
PENNSYLVANIA,BERKS COUNTY,"EXETER, TOWNSHIP OF (421063)", 67 ," $15,554,000 "," $53,610 "," $67,291 "
PENNSYLVANIA,BERKS COUNTY,"FLEETWOOD, BOROUGH OF (420133)", 6 ," $1,640,000 "," $6,194 "," $7,857 "
PENNSYLVANIA,BERKS COUNTY,"GREENWICH, TOWNSHIP OF (421067)", 13 ," $1,992,000 "," $21,854 "," $26,452 "
PENNSYLVANIA,BERKS COUNTY,HAMBURG BOROUGH OF (420134), 50 ," $7,710,000 "," $40,575 "," $52,531 "
PENNSYLVANIA,BERKS COUNTY,"HEIDELBERG, TOWNSHIP OF (421069)", 10 ," $4,032,000 "," $10,372 "," $13,530 "
PENNSYLVANIA,BERKS COUNTY,"HEREFORD, TOWNSHIP OF (421379)", 9 ," $2,265,000 "," $12,965 "," $16,122 "
PENNSYLVANIA,BERKS COUNTY,"JEFFERSON, TOWNSHIP OF (421071)", 1 ," $331,000 ", $725 , $872 
PENNSYLVANIA,BERKS COUNTY,"KUTZTOWN, BOROUGH OF (420136)", 32 ," $8,452,000 "," $65,930 "," $81,702 "
PENNSYLVANIA,BERKS COUNTY,"LEESPORT, BOROUGH OF (420138)", 13 ," $3,145,000 "," $22,933 "," $27,951 "
PENNSYLVANIA,BERKS COUNTY,"LENHARTSVILLE, BOROUGH OF (420139)", 2 ," $630,000 "," $4,688 "," $5,565 "
PENNSYLVANIA,BERKS COUNTY,"LONGSWAMP, TOWNSHIP OF (421380)", 3 ," $1,125,000 "," $2,380 "," $3,083 "
PENNSYLVANIA,BERKS COUNTY,"LOWER ALSACE, TOWNSHIP OF (420140)", 23 ," $5,086,000 "," $15,054 "," $18,819 "
PENNSYLVANIA,BERKS COUNTY,"LOWER HEIDELBERG, TOWNSHIP OF (421077)", 18 ," $4,730,000 "," $13,082 "," $16,634 "
PENNSYLVANIA,BERKS COUNTY,"MAIDENCREEK, TOWNSHIP OF (421078)", 19 ," $5,129,000 "," $14,889 "," $18,109 "
PENNSYLVANIA,BERKS COUNTY,"MARION, TOWNSHIP OF (421079)", 2 ," $405,000 "," $1,928 "," $2,308 "
PENNSYLVANIA,BERKS COUNTY,"MAXATAWNY, TOWNSHIP OF (421381)", 17 ," $3,996,000 "," $39,994 "," $48,149 "
PENNSYLVANIA,BERKS COUNTY,"MOHNTON, BOROUGH OF (420142)", 8 ," $2,114,000 "," $13,058 "," $16,215 "
PENNSYLVANIA,BERKS COUNTY,"MUHLENBERG, TOWNSHIP OF (420144)", 85 ," $21,705,000 "," $101,105 "," $123,639 "
PENNSYLVANIA,BERKS COUNTY,"NORTH HEIDELBERG, TOWNSHIP OF (421086)", 6 ," $1,320,000 "," $8,691 "," $10,355 "
PENNSYLVANIA,BERKS COUNTY,"OLEY, TOWNSHIP OF (420965)", 24 ," $5,645,000 "," $31,058 "," $39,068 "
PENNSYLVANIA,BERKS COUNTY,"ONTELAUNEE, TOWNSHIP OF (420966)", 16 ," $4,063,000 "," $31,896 "," $39,703 "
PENNSYLVANIA,BERKS COUNTY,"PENN, TOWNSHIP OF (421091)", 2 ," $175,000 "," $2,175 "," $2,600 "
PENNSYLVANIA,BERKS COUNTY,"PERRY, TOWNSHIP OF (421093)", 16 ," $2,972,000 "," $18,351 "," $23,043 "
PENNSYLVANIA,BERKS COUNTY,"PIKE, TOWNSHIP OF (421382)", 5 ," $962,000 "," $4,963 "," $6,165 "
PENNSYLVANIA,BERKS COUNTY,"READING, CITY OF (420145)", 40 ," $20,507,000 "," $162,567 "," $199,692 "
PENNSYLVANIA,BERKS COUNTY,"RICHMOND, TOWNSHIP OF (421096)", 10 ," $2,415,000 "," $12,940 "," $16,111 "
PENNSYLVANIA,BERKS COUNTY,"ROBESONIA, BOROUGH OF (420147)", 4 ," $665,000 "," $3,111 "," $3,737 "
PENNSYLVANIA,BERKS COUNTY,"ROBESON, TOWNSHIP OF (420146)", 38 ," $9,991,000 "," $54,054 "," $66,664 "
PENNSYLVANIA,BERKS COUNTY,"ROCKLAND, TOWNSHIP OF (421098)", 4 ," $1,330,000 "," $3,371 "," $4,044 "
PENNSYLVANIA,BERKS COUNTY,"RUSCOMBMANOR, TOWNSHIP OF (421099)", 4 ," $613,000 "," $1,949 "," $2,365 "
PENNSYLVANIA,BERKS COUNTY,"SHILLINGTON, BOROUGH OF (420148)", 3 ," $1,315,000 "," $8,255 "," $10,016 "
PENNSYLVANIA,BERKS COUNTY,"SHOEMAKERSVILLE, BOROUGH OF (420149)", 19 ," $3,736,000 "," $31,953 "," $38,917 "
PENNSYLVANIA,BERKS COUNTY,"SINKING SPRING, BOROUGH OF (420150)", 10 ," $3,265,000 "," $10,657 "," $13,416 "
PENNSYLVANIA,BERKS COUNTY,"SOUTH HEIDELBERG, TOWNSHIP OF (421107)", 14 ," $3,503,000 "," $9,144 "," $11,696 "
PENNSYLVANIA,BERKS COUNTY,"SPRING, TOWNSHIP OF (421108)", 44 ," $13,112,000 "," $24,106 "," $31,494 "
PENNSYLVANIA,BERKS COUNTY,"ST. LAWRENCE, BOROUGH OF (420151)", 4 ," $1,143,000 "," $9,799 "," $12,303 "
PENNSYLVANIA,BERKS COUNTY,"TILDEN, TOWNSHIP OF (421112)", 1 ," $250,000 "," $3,733 "," $4,646 "
PENNSYLVANIA,BERKS COUNTY,"TOPTON, BOROUGH OF (420154)", 6 ," $1,029,000 "," $4,425 "," $5,545 "
PENNSYLVANIA,BERKS COUNTY,"TULPEHOCKEN, TOWHSHIP OF (421115)", 2 ," $446,000 "," $1,814 "," $2,173 "
PENNSYLVANIA,BERKS COUNTY,"UNION, TOWNSHIP OF (420155)", 23 ," $6,076,000 "," $45,043 "," $54,433 "
PENNSYLVANIA,BERKS COUNTY,"UPPER TULPEHOCKEN, TOWNSHIP OF (421120)", 1 ," $104,000 ", $851 ," $1,021 "
PENNSYLVANIA,BERKS COUNTY,"WASHINGTON, TOWNSHIP OF (421383)", 3 ," $711,000 "," $2,635 "," $3,159 "
PENNSYLVANIA,BERKS COUNTY,"WERNERSVILLE, BOROUGH OF (421374)", 1 ," $94,000 ", $484 , $588 
PENNSYLVANIA,BERKS COUNTY,"WEST READING, BOROUGH OF (420156)", 11 ," $3,290,000 "," $21,740 "," $28,086 "
PENNSYLVANIA,BERKS COUNTY,"WINDSOR, TOWNSHIP OF (421125)", 4 ," $875,000 "," $2,780 "," $3,347 "
PENNSYLVANIA,BERKS COUNTY,"WOMELSDORF,BOROUGH OF (420157)", 1 ," $350,000 ", $732 , $880 
PENNSYLVANIA,BERKS COUNTY,"WYOMISSING, BOROUGH OF (421375)", 16 ," $5,559,000 "," $22,840 "," $27,890 "
PENNSYLVANIA,BLAIR COUNTY,"ALLEGHENY, TOWNSHIP OF (420961)", 46 ," $10,452,000 "," $45,928 "," $58,109 "
PENNSYLVANIA,BLAIR COUNTY,"ALTOONA, CITY OF (420159)", 96 ," $14,817,000 "," $62,458 "," $80,614 "
PENNSYLVANIA,BLAIR COUNTY,"ANTIS, TOWNSHIP OF (421385)", 37 ," $10,747,000 "," $58,481 "," $72,770 "
PENNSYLVANIA,BLAIR COUNTY,"BELLWOOD, BOROUGH OF (420160)", 4 ," $809,000 "," $4,118 "," $5,151 "
PENNSYLVANIA,BLAIR COUNTY,"BLAIR, TOWNSHIP OF (421386)", 41 ," $6,106,000 "," $48,808 "," $58,723 "
PENNSYLVANIA,BLAIR COUNTY,"CATHARINE, TOWNSHIP OF (420962)", 5 ," $438,000 "," $6,303 "," $7,971 "
PENNSYLVANIA,BLAIR COUNTY,"DUNCANSVILLE, BOROUGH OF (420161)", 68 ," $10,802,000 "," $62,765 "," $78,117 "
PENNSYLVANIA,BLAIR COUNTY,"FRANKSTOWN, TOWNSHIP OF (421387)", 35 ," $6,506,000 "," $38,128 "," $47,146 "
PENNSYLVANIA,BLAIR COUNTY,"FREEDOM, TOWNSHIP OF (421388)", 42 ," $7,536,000 "," $57,077 "," $70,068 "
PENNSYLVANIA,BLAIR COUNTY,"GREENFIELD, TOWNSHIP OF (421389)", 55 ," $8,277,000 "," $58,616 "," $74,804 "
PENNSYLVANIA,BLAIR COUNTY,"HOLLIDAYSBURG, BOROUGH OF (420162)", 25 ," $4,405,000 "," $37,552 "," $46,300 "
PENNSYLVANIA,BLAIR COUNTY,"HUSTON, TOWNSHIP OF (422332)", 6 ," $1,949,000 "," $5,935 "," $8,002 "
PENNSYLVANIA,BLAIR COUNTY,"JUNIATA, TOWNSHIP OF (421390)", 3 ," $409,000 "," $2,174 "," $2,614 "
PENNSYLVANIA,BLAIR COUNTY,"LOGAN, TOWNSHIP OF (421391)", 59 ," $15,591,000 "," $78,154 "," $97,700 "
PENNSYLVANIA,BLAIR COUNTY,"NORTH WOODBURY, TOWNSHIP OF (421392)", 1 ," $76,000 ", $286 , $354 
PENNSYLVANIA,BLAIR COUNTY,"ROARING SPRING, BOROUGH OF (420163)", 4 ," $333,000 "," $3,919 "," $4,915 "
PENNSYLVANIA,BLAIR COUNTY,"SNYDER, TOWNSHIP OF (421393)", 26 ," $3,784,000 "," $33,868 "," $43,770 "
PENNSYLVANIA,BLAIR COUNTY,"TAYLOR, TOWNSHIP OF (421394)", 4 ," $505,000 "," $4,063 "," $5,085 "
PENNSYLVANIA,BLAIR COUNTY,"TYRONE, BOROUGH OF (420164)", 71 ," $8,244,000 "," $93,517 "," $115,352 "
PENNSYLVANIA,BLAIR COUNTY,"TYRONE, TOWNSHIP OF (421395)", 3 ," $283,000 "," $2,225 "," $2,676 "
PENNSYLVANIA,BLAIR COUNTY,"WILLIAMSBURG, BOROUGH OF (420165)", 12 ," $1,367,000 "," $19,877 "," $24,554 "
PENNSYLVANIA,BLAIR COUNTY,"WOODBURY, TOWNSHIP OF (420963)", 4 ," $520,000 "," $6,160 "," $7,561 "
PENNSYLVANIA,BRADFORD COUNTY,"ALBA, BOROUGH OF (420166)", 2 ," $225,000 "," $1,608 "," $2,156 "
PENNSYLVANIA,BRADFORD COUNTY,"ALBANY, TOWNSHIP OF (421047)", 2 ," $98,000 "," $1,197 "," $1,445 "
PENNSYLVANIA,BRADFORD COUNTY,"ASYLUM, TOWNSHIP OF (421048)", 8 ," $1,169,000 "," $7,683 "," $10,323 "
PENNSYLVANIA,BRADFORD COUNTY,"ATHENS, BOROUGH OF (420167)", 178 ," $47,045,000 "," $134,944 "," $177,249 "
PENNSYLVANIA,BRADFORD COUNTY,"ATHENS, TOWNSHIP OF (420976)", 20 ," $4,445,000 "," $20,455 "," $25,367 "
PENNSYLVANIA,BRADFORD COUNTY,"BURLINGTON, BOROUGH OF (420168)", 1 ," $31,000 ", $684 , $824 
PENNSYLVANIA,BRADFORD COUNTY,"BURLINGTON, TOWNSHIP OF (421054)", 2 ," $107,000 "," $1,632 "," $1,959 "
PENNSYLVANIA,BRADFORD COUNTY,"CANTON, BOROUGH OF (420169)", 7 ," $1,014,000 "," $8,174 "," $10,212 "
PENNSYLVANIA,BRADFORD COUNTY,"CANTON, TOWNSHIP OF (421397)", 4 ," $333,000 "," $4,144 "," $4,955 "
PENNSYLVANIA,BRADFORD COUNTY,"COLUMBIA, TOWNSHIP OF (421059)", 7 ," $603,000 "," $6,524 "," $8,040 "
PENNSYLVANIA,BRADFORD COUNTY,"FRANKLIN, TOWNSHIP OF (421398)", 4 ," $136,000 "," $2,903 "," $3,941 "
PENNSYLVANIA,BRADFORD COUNTY,"MONROE, BOROUGH OF (420170)", 36 ," $4,125,000 "," $66,899 "," $80,436 "
PENNSYLVANIA,BRADFORD COUNTY,"MONROE, TOWNSHIP OF (421083)", 31 ," $3,159,000 "," $36,215 "," $44,371 "
PENNSYLVANIA,BRADFORD COUNTY,"NEW ALBANY, BOROUGH OF (420172)", 1 ," $57,000 "," $1,885 "," $2,466 "
PENNSYLVANIA,BRADFORD COUNTY,"NORTH TOWANDA, TOWNSHIP OF (421087)", 4 ," $764,000 "," $3,525 "," $4,901 "
PENNSYLVANIA,BRADFORD COUNTY,"ORWELL, TOWNSHIP OF (421401)", 8 ," $1,053,000 "," $10,723 "," $12,786 "
PENNSYLVANIA,BRADFORD COUNTY,"RIDGEBURY, TOWNSHIP OF (420173)", 32 ," $5,747,000 "," $73,775 "," $90,511 "
PENNSYLVANIA,BRADFORD COUNTY,"ROME, BOROUGH OF (420174)", 10 ," $1,018,000 "," $15,115 "," $18,227 "
PENNSYLVANIA,BRADFORD COUNTY,"SAYRE, BOROUGH OF (420175)", 21 ," $4,116,000 "," $13,911 "," $17,438 "
PENNSYLVANIA,BRADFORD COUNTY,"SHESHEQUIN, TOWNSHIP OF (421102)", 17 ," $2,828,000 "," $16,922 "," $21,598 "
PENNSYLVANIA,BRADFORD COUNTY,"SMITHFIELD, TOWNSHIP OF (421104)", 2 ," $361,000 "," $2,160 "," $2,807 "
PENNSYLVANIA,BRADFORD COUNTY,"SOUTH CREEK, TOWNSHIP OF (421105)", 9 ," $1,111,000 "," $10,088 "," $12,053 "
PENNSYLVANIA,BRADFORD COUNTY,"SOUTH WAVERLY, BOROUGH OF (420176)", 3 ," $563,000 "," $2,707 "," $3,245 "
PENNSYLVANIA,BRADFORD COUNTY,"SPRINGFIELD, TOWNSHIP OF (421109)", 3 ," $295,000 "," $4,227 "," $5,488 "
PENNSYLVANIA,BRADFORD COUNTY,"STANDING STONE, TOWNSHIP OF (421406)", 7 ," $967,000 "," $8,537 "," $10,415 "
PENNSYLVANIA,BRADFORD COUNTY,"STEVENS, TOWNSHIP OF (421407)", 3 ," $635,000 "," $3,338 "," $3,989 "
PENNSYLVANIA,BRADFORD COUNTY,"TERRY, TOWNSHIP OF (421111)", 8 ," $1,903,000 "," $13,190 "," $16,820 "
PENNSYLVANIA,BRADFORD COUNTY,"TOWANDA, BOROUGH OF (420178)", 16 ," $5,644,000 "," $42,087 "," $53,075 "
PENNSYLVANIA,BRADFORD COUNTY,"TOWANDA, TOWNSHIP OF (421113)", 1 ," $200,000 "," $1,954 "," $2,547 "
PENNSYLVANIA,BRADFORD COUNTY,"TROY, BOROUGH OF (420179)", 6 ," $2,515,000 "," $15,492 "," $19,280 "
PENNSYLVANIA,BRADFORD COUNTY,"TROY, TOWNSHIP OF (421114)", 13 ," $3,476,000 "," $22,631 "," $27,594 "
PENNSYLVANIA,BRADFORD COUNTY,"TUSCARORA, TOWNSHIP OF (421116)", 4 ," $601,000 "," $5,551 "," $6,616 "
PENNSYLVANIA,BRADFORD COUNTY,"ULSTER, TOWNSHIP OF (421218)", 9 ," $2,367,000 "," $15,082 "," $18,396 "
PENNSYLVANIA,BRADFORD COUNTY,"WARREN, TOWNSHIP OF (421408)", 11 ," $713,000 "," $9,643 "," $13,811 "
PENNSYLVANIA,BRADFORD COUNTY,"WELLS, TOWNSHIP OF (421121)", 2 ," $501,000 "," $1,402 "," $1,687 "
PENNSYLVANIA,BRADFORD COUNTY,"WEST BURLINGTON, TOWNSHIP OF (421122)", 11 ," $1,573,000 "," $19,264 "," $25,387 "
PENNSYLVANIA,BRADFORD COUNTY,"WILMOT, TOWNSHIP OF (421124)", 18 ," $3,218,000 "," $28,803 "," $35,635 "
PENNSYLVANIA,BRADFORD COUNTY,"WINDHAM, TOWNSHIP OF (421409)", 9 ," $1,585,000 "," $10,198 "," $12,406 "
